series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold
2,FIFTS,3,5,5,min-max,uniform,translate,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.71875,0.75
2,FIFTS,3,5,5,min-max,uniform,translate,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.71875,0.5
2,FIFTS,3,5,5,min-max,uniform,translate,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.765625,0.25
2,FIFTS,3,5,5,min-max,uniform,translate,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.75,0.75
2,FIFTS,3,5,5,min-max,uniform,nothing,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.625,0.5
2,FIFTS,3,5,5,min-max,uniform,nothing,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.53125,0.25
2,FIFTS,3,5,5,min-max,uniform,nothing,delelete_bad,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.578125,0.75
2,FIFTS,3,5,5,min-max,uniform,nothing,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.5625,0.5
2,FIFTS,3,5,5,min-max,uniform,nothing,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.546875,0.25
2,FIFTS,3,5,5,min-max,uniform,nothing,nothing,3.997,0.97390007566635,0.9792058086100108,0.6856854580248294,0.021399981169076786,4.045361488762367,0.5625,0.75
2,FIFTS,3,7,7,mu-sigma,knn,translate,delelete_bad,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.546875,0.5
2,FIFTS,3,7,7,mu-sigma,knn,translate,delelete_bad,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.671875,0.25
2,FIFTS,3,7,7,mu-sigma,knn,translate,delelete_bad,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.453125,0.75
2,FIFTS,3,7,7,mu-sigma,knn,translate,nothing,3.997,0.9994393129850666,0.9994601685222944,0.10149332601759238,0.0029729696319509787,0.5561067247128773,1.515625,0.5
