series,algorithm,order,nsets,bound_type,partitioner,window_size,pearson,spearman,RMSE,MAPE,U,time
2,TVFTS,3,5,min-max,knn,100,0.9985096123652166,0.998200499649224,0.16533036569076665,0.0047341353059509195,1.7734657341656361,15.40625
2,TVFTS,3,5,min-max,knn,75,0.9988139043513461,0.9984025541299179,0.14721557218236508,0.004346372772009924,1.6314160194904659,11.65625
2,TVFTS,3,5,min-max,knn,50,0.999258799252633,0.9988789950530822,0.11670420344067033,0.0035933522242139284,1.342699857860789,7.765625
2,TVFTS,3,5,min-max,knn,25,0.9995707779857519,0.999407691833905,0.08848843760844452,0.0027995004575134532,1.04214334204464,4.484375
2,TVFTS,3,5,min-max,knn,10,0.9996523030787573,0.9995303327339345,0.07966161058760422,0.0025334949373117207,0.9445118995012115,2.0625
2,TVFTS,3,5,min-max,knn,5,0.9996177728593011,0.999484749882449,0.08354137523244977,0.0026738973054980506,0.9969831202780245,1.3125
2,TVFTS,3,5,min-max,uniform,300,0.9993979792260703,0.999149194717479,0.10522437632442677,0.0032233121895167104,1.2203682935165479,30.78125
2,TVFTS,3,5,min-max,uniform,250,0.9992672968317272,0.9988506550572585,0.11553396989255856,0.003429211035159353,1.2958031576801348,26.1875
2,TVFTS,3,5,min-max,uniform,150,0.998538615615212,0.9981647640637137,0.16448968451632728,0.004574886630230802,1.6877243625405434,16.96875
2,TVFTS,3,5,min-max,uniform,100,0.9983868693544165,0.9980765127308399,0.17203864262484242,0.00471463911306132,1.754980668728704,11.640625
2,TVFTS,3,5,min-max,uniform,75,0.9986086833135225,0.9981744550954157,0.16013250004854324,0.004484030845494436,1.6737255072135382,9.1875
2,TVFTS,3,5,min-max,uniform,50,0.9991347913362134,0.9987923225877203,0.12678911412251326,0.0037360024592719143,1.3951257484557984,6.234375
2,TVFTS,3,5,min-max,uniform,25,0.999560175305025,0.9994072186243272,0.08960387266922891,0.002785513317469487,1.0345250830597374,3.46875
2,TVFTS,3,5,min-max,uniform,10,0.99968019497905,0.9995715425280209,0.07639378450895953,0.00240168835439417,0.8958556114061762,1.609375
2,TVFTS,3,5,min-max,uniform,5,0.9996221344476028,0.9994914394134005,0.08306502192020107,0.0026589840599881703,0.9913961994552513,1.0
2,TVFTS,3,7,mu-sigma,knn,300,0.9986030844380642,0.9979797496345773,0.16729498728026485,0.004730738107417806,1.801744884498109,44.15625
2,TVFTS,3,7,mu-sigma,knn,250,0.9988224113483947,0.9986131624370745,0.1507766279366803,0.004426689677374775,1.6750729630219674,38.75
2,TVFTS,3,7,mu-sigma,knn,150,0.9984703366063042,0.9978483400859589,0.16780887352355187,0.005136609834244269,1.9182186134690384,25.046875
2,TVFTS,3,7,mu-sigma,knn,100,0.9987527594651199,0.9984112461636225,0.15089962036604973,0.004427162354322987,1.6566964581438246,17.109375
