series,algorithm,order,nsets,f_nsets,bound_type,partitioner,mod,del_strategy,window_size,pearson,spearman,RMSE,MAPE,U,time,translation_threshold, deletion_count
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delete_bad,3.997,0.999521555004695,0.9994720239008835,0.09347830949442633,0.00288000801756635,1.0572944911231876,0.328125,0.5,131
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delete_bad,3.997,0.999521555004695,0.9994720239008835,0.09347830949442633,0.00288000801756635,1.0572944911231876,0.28125,0.25,131
2,FIFTS,3,5,5,mu-sigma,knn,nothing,delete_bad,3.997,0.999521555004695,0.9994720239008835,0.09347830949442633,0.00288000801756635,1.0572944911231876,0.28125,0.75,131
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,1.0692565982634652,0.265625,0.5,0
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,1.0692565982634652,0.1875,0.25,0
2,FIFTS,3,5,5,mu-sigma,knn,nothing,nothing,3.997,0.9995052452807243,0.9994652927044052,0.09514875184488018,0.002918680872044589,1.0692565982634652,0.203125,0.75,0
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delete_bad,3.997,0.998384069330813,0.9981011857279993,0.17452706008187946,0.005059457460453915,1.8821833378809618,0.953125,0.5,304
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delete_bad,3.997,0.998384069330813,0.9981011857279993,0.17452706008187946,0.005059457460453915,1.8821833378809618,1.046875,0.25,304
2,FIFTS,3,5,5,mu-sigma,uniform,translate,delete_bad,3.997,0.99836467750592,0.9980997721082763,0.17494699718272277,0.005072815179745167,1.8860461310237346,1.03125,0.75,312
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,3.108757773423185,0.984375,0.5,0
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,3.108757773423185,1.015625,0.25,0
2,FIFTS,3,5,5,mu-sigma,uniform,translate,nothing,3.997,0.9939227189728924,0.9941084085586338,0.4542576673373848,0.013070961247609175,4.588654743279051,0.96875,0.75,0
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delete_bad,3.997,0.998384069330813,0.9981011857279993,0.17452706008187946,0.005059457460453915,1.8821833378809618,0.8125,0.5,304
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delete_bad,3.997,0.998384069330813,0.9981011857279993,0.17452706008187946,0.005059457460453915,1.8821833378809618,1.15625,0.25,304
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,delete_bad,3.997,0.998384069330813,0.9981011857279993,0.17452706008187946,0.005059457460453915,1.8821833378809618,0.84375,0.75,304
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,3.108757773423185,0.671875,0.5,0
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,3.108757773423185,0.671875,0.25,0
2,FIFTS,3,5,5,mu-sigma,uniform,nothing,nothing,3.997,0.9948182386634647,0.9958285884684085,0.32527705488022557,0.008791578762969559,3.108757773423185,0.71875,0.75,0
2,FIFTS,3,5,5,min-max,knn,translate,delete_bad,3.997,0.769546448737084,0.879899819601126,2.6456562918964424,0.06800968557496001,26.781554225585026,1.09375,0.5,591
2,FIFTS,3,5,5,min-max,knn,translate,delete_bad,3.997,0.769546448737084,0.879899819601126,2.6456562918964424,0.06800968557496001,26.781554225585026,1.046875,0.25,591
2,FIFTS,3,5,5,min-max,knn,translate,delete_bad,3.997,0.7702122006280898,0.8804823633212514,2.642333710281874,0.06795084554492767,26.75657183419581,1.125,0.75,591
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,51.9260494758962,0.90625,0.5,0
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7410154191008186,0.5040689376959273,4.283906824491896,0.1374347971474336,51.9260494758962,0.96875,0.25,0
2,FIFTS,3,5,5,min-max,knn,translate,nothing,3.997,0.7522246873928125,0.5049884317020646,4.201356328361239,0.13465795908322106,50.77854776069646,1.046875,0.75,0
2,FIFTS,3,5,5,min-max,knn,nothing,delete_bad,3.997,0.7705053126154355,0.8810009277300612,2.640858352465735,0.06792473287406878,26.745550012188826,0.515625,0.5,591
